0	1	G	eps
1	2	H	H
2	3	A	A
2	3	E	E
2	3	I	I
2	3	O	O
2	3	U	U
2	3	B	B
2	3	C	C
2	3	D	D
2	3	F	F
2	3	G	G
2	3	H	H
2	3	J	J
2	3	K	K
2	3	L	L
2	3	M	M
2	3	N	N
2	3	P	P
2	3	Q	Q
2	3	R	R
2	3	S	S
2	3	T	T
2	3	V	V
2	3	W	W
2	3	X	X
2	3	Y	Y
2	3	Z	Z
3	3	A	A	1
3	3	E	E	1
3	3	I	I	1
3	3	O	O	1
3	3	U	U	1
3	3	B	B	1
3	3	C	C	1
3	3	D	D	1
3	3	F	F	1
3	3	G	G	1
3	3	H	H	1
3	3	J	J	1
3	3	K	K	1
3	3	L	L	1
3	3	M	M	1
3	3	N	N	1
3	3	P	P	1
3	3	Q	Q	1
3	3	R	R	1
3	3	S	S	1
3	3	T	T	1
3	3	V	V	1
3	3	W	W	1
3	3	X	X	1
3	3	Y	Y	1
3	3	Z	Z	1
3	3	0	0	1
0	3	A	A	1
0	3	E	E	1
0	3	I	I	1
0	3	O	O	1
0	3	U	U	1
0	3	B	B	1
0	3	C	C	1
0	3	D	D	1
0	3	F	F	1
0	3	G	G	1
0	3	H	H	1
0	3	J	J	1
0	3	K	K	1
0	3	L	L	1
0	3	M	M	1
0	3	N	N	1
0	3	P	P	1
0	3	Q	Q	1
0	3	R	R	1
0	3	S	S	1
0	3	T	T	1
0	3	V	V	1
0	3	W	W	1
0	3	X	X	1
0	3	Y	Y	1
0	3	Z	Z	1
0	3	0	0	1
1	4	N	N
4	5	E	E
5	4	D	D
3	1	G	eps
3	4	A	A	4
3	4	E	E	4
3	4	I	I	4
3	4	O	O	4
3	4	U	U	4
3	4	B	B	4
3	4	C	C	4
3	4	D	D	4
3	4	F	F	4
3	4	G	G	4
3	4	H	H	4
3	4	J	J	4
3	4	K	K	4
3	4	L	L	4
3	4	M	M	4
3	4	N	N	4
3	4	P	P	4
3	4	Q	Q	4
3	4	R	R	4
3	4	S	S	4
3	4	T	T	4
3	4	V	V	4
3	4	W	W	4
3	4	X	X	4
3	4	Y	Y	4
3	4	Z	Z	4
3	4	0	0	4
3
4
